,Unnamed: 0,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,age,players_photo,team_photo
193,193,Austin Rivers,76,#25,Houston Rockets,G,1992-08-01,6-3 / 1.91,200 lbs. / 90.7 kg.,$2174310,USA,2012,1,10,Duke,32,https://cdn.nba.com/headshots/nba/latest/1040x760/203085.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
194,194,Andre Roberson,76,#21,Oklahoma City Thunder,G-F,1991-12-04,6-7 / 2.01,206 lbs. / 93.4 kg.,$10740740,USA,2013,1,26,Colorado ,33,https://cdn.nba.com/headshots/nba/latest/1040x760/203460.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
195,195,Rajon Rondo,76,#9,Los Angeles Lakers,G,1986-02-22,6-1 / 1.85,186 lbs. / 84.4 kg.,$2564753,USA,2006,1,21,Kentucky,39,https://cdn.nba.com/headshots/nba/latest/1040x760/200765.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
196,196,Landry Shamet,76,#20,Los Angeles Clippers,G,1997-03-13,6-4 / 1.93,180 lbs. / 81.6 kg.,$1995120,USA,2018,1,26,Wichita State,28,https://cdn.nba.com/headshots/nba/latest/1040x760/1629013.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
197,197,Daniel Theis,76,#27,Boston Celtics,C,1992-04-04,6-8 / 2.03,215 lbs. / 97.5 kg.,$5000000,Germany,2013,Undrafted,Undrafted,,32,https://cdn.nba.com/headshots/nba/latest/1040x760/1628464.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
198,198,Isaiah Thomas,76,#0,,G,1989-02-07,5-9 / 1.75,185 lbs. / 83.9 kg.,$2320044,USA,2011,2,60,Washington,36,https://cdn.nba.com/headshots/nba/latest/1040x760/202738.png,
199,199,Dion Waiters,76,#11,Los Angeles Lakers,G,1991-12-10,6-3 / 1.91,210 lbs. / 95.3 kg.,$12475385,USA,2012,1,4,Syracuse,33,https://cdn.nba.com/headshots/nba/latest/1040x760/203079.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
200,200,Marvin Williams,76,#2,Milwaukee Bucks,F,1986-06-19,6-8 / 2.03,240 lbs. / 108.9 kg.,$14654179,USA,2005,1,2,North Carolina,38,https://cdn.nba.com/headshots/nba/latest/1040x760/101107.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
201,201,Delon Wright,76,#55,Dallas Mavericks,G,1992-04-26,6-5 / 1.96,181 lbs. / 82.1 kg.,$9473684,USA,2015,1,20,Utah,32,https://cdn.nba.com/headshots/nba/latest/1040x760/1626153.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
202,202,Coby White,76,#0,Chicago Bulls,G,2000-02-16,6-4 / 1.93,185 lbs. / 83.9 kg.,$5307120,USA,2019,1,7,North Carolina,25,https://cdn.nba.com/headshots/nba/latest/1040x760/1629632.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
203,203,Pau Gasol,75,#0,,C,1980-07-06,7-1 / 2.16,250 lbs. / 113.4 kg.,$5538540,Spain,2001,1,3,,44,https://cdn.nba.com/headshots/nba/latest/1040x760/2200.png,
204,204,Aron Baynes,75,#46,Phoenix Suns,C,1986-12-09,6-10 / 2.08,260 lbs. / 117.9 kg.,$5453280,Australia,2009,Undrafted,Undrafted,Washington State,38,https://cdn.nba.com/headshots/nba/latest/1040x760/203382.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg
205,205,Kent Bazemore,75,#26,Sacramento Kings,G,1989-07-01,6-4 / 1.93,195 lbs. / 88.5 kg.,$19269663,USA,2012,Undrafted,Undrafted,Old Dominion,35,https://cdn.nba.com/headshots/nba/latest/1040x760/203145.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg
206,206,Marco Belinelli,75,#18,San Antonio Spurs,G,1986-03-25,6-5 / 1.96,200 lbs. / 90.7 kg.,$5846154,Italy,2007,1,18,,39,https://cdn.nba.com/headshots/nba/latest/1040x760/201158.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg
207,207,Bismack Biyombo,75,#8,Charlotte Hornets,C,1992-08-28,6-8 / 2.03,229 lbs. / 103.9 kg.,$17000000,Democratic Republic of the Congo,2011,1,7,,32,https://cdn.nba.com/headshots/nba/latest/1040x760/202687.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
208,208,Mikal Bridges,75,#25,Phoenix Suns,F-G,1996-08-30,6-6 / 1.98,209 lbs. / 94.8 kg.,$4161000,USA,2018,1,10,Villanova,28,https://cdn.nba.com/headshots/nba/latest/1040x760/1628969.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg
209,209,Wilson Chandler,75,#21,Brooklyn Nets,F-G,1987-05-10,6-8 / 2.03,225 lbs. / 102.1 kg.,$2564753,USA,2007,1,23,DePaul,37,https://cdn.nba.com/headshots/nba/latest/1040x760/201163.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
210,210,Damyean Dotson,75,#21,New York Knicks,G,1994-05-06,6-5 / 1.96,202 lbs. / 91.6 kg.,$1618520,USA,2017,2,44,Houston,30,https://cdn.nba.com/headshots/nba/latest/1040x760/1628422.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
211,211,Kris Dunn,75,#32,Chicago Bulls,G,1994-03-18,6-3 / 1.91,205 lbs. / 93 kg.,$5348007,USA,2016,1,5,Providence,31,https://cdn.nba.com/headshots/nba/latest/1040x760/1627739.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
212,212,Wayne Ellington,75,#2,New York Knicks,G,1987-11-29,6-4 / 1.93,200 lbs. / 90.7 kg.,$8000000,USA,2009,1,28,North Carolina,37,https://cdn.nba.com/headshots/nba/latest/1040x760/201961.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
213,213,Bryn Forbes,75,#11,San Antonio Spurs,G,1993-07-23,6-2 / 1.88,187 lbs. / 84.8 kg.,$2875000,USA,2016,Undrafted,Undrafted,Michigan State,31,https://cdn.nba.com/headshots/nba/latest/1040x760/1627854.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg
214,214,Josh Hart,75,#3,New Orleans Pelicans,G,1995-03-06,6-5 / 1.96,204 lbs. / 92.5 kg.,$1934160,USA,2017,1,30,Villanova,30,https://cdn.nba.com/headshots/nba/latest/1040x760/1628404.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg
215,215,John Henson,75,#31,Detroit Pistons,F,1990-12-28,6-9 / 2.06,220 lbs. / 99.8 kg.,$9732396,USA,2012,1,14,North Carolina,34,https://cdn.nba.com/headshots/nba/latest/1040x760/203089.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
216,216,Mario Hezonja,75,#44,Portland Trail Blazers,F-G,1995-02-25,6-8 / 2.03,201 lbs. / 91.2 kg.,$1737145,Croatia,2015,1,5,,30,https://cdn.nba.com/headshots/nba/latest/1040x760/1626209.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
217,217,George Hill,75,#3,Milwaukee Bucks,G,1986-05-04,6-3 / 1.91,180 lbs. / 81.6 kg.,$10133907,USA,2008,1,26,IUPUI,38,https://cdn.nba.com/headshots/nba/latest/1040x760/201588.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
218,218,Rondae Hollis-Jefferson,75,#4,Toronto Raptors,F,1995-01-03,6-6 / 1.98,211 lbs. / 95.7 kg.,$2500000,USA,2015,1,23,Arizona,30,https://cdn.nba.com/headshots/nba/latest/1040x760/1626178.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg
219,219,Richaun Holmes,75,#22,Sacramento Kings,F,1993-10-15,6-10 / 2.08,243 lbs. / 110.2 kg.,$4767000,USA,2015,2,37,Bowling Green,31,https://cdn.nba.com/headshots/nba/latest/1040x760/1626158.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg
